2023-02-09 12:10:09 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:15:55 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:16:28 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:17:04 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:20:07 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:24:39 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:25:38 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:26:10 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:27:33 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:28:08 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:28:41 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:29:30 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
2023-02-09 12:29:59 error: [GET] /users >> StatusCode:: 404, Message:: Authentication token missing
